lemma_de,article,part_of_speech,current_meaning_ja,candidate_meaning_ja,query,review_status,notes
Ampel,die,noun,信号機,信号機,Ampel,machine_candidate,Review before applying to seed
anbieten,,verb,オファー,オファー,anbieten,machine_candidate,Review before applying to seed
ander,,unknown,で,で,ander,machine_candidate,Review before applying to seed
ändern,,verb,変化,変化,ändern,machine_candidate,Review before applying to seed
anders,,unknown,違う,違う,anders,machine_candidate,Review before applying to seed
Anfang,der,noun,始まり,始まり,Anfang,machine_candidate,Review before applying to seed
anfangen,,verb,始める,始める,anfangen,machine_candidate,Review before applying to seed
Angabe,die,noun,情報,情報,Angabe,machine_candidate,Review before applying to seed
Angebot,das,noun,オファー,オファー,Angebot,machine_candidate,Review before applying to seed
angeln,,verb,釣り,釣り,angeln,machine_candidate,Review before applying to seed
angenehm,,unknown,楽しい,楽しい,angenehm,machine_candidate,Review before applying to seed
Angestellte,die,noun,従業員,従業員,Angestellte,machine_candidate,Review before applying to seed
Angst,die,noun,恐れ,恐れ,Angst,machine_candidate,Review before applying to seed
ankommen,,verb,到着,到着,ankommen,machine_candidate,Review before applying to seed
Ankunft,die,noun,到着,到着,Ankunft,machine_candidate,Review before applying to seed
anmachen,,verb,オンにする,オンにする,anmachen,machine_candidate,Review before applying to seed
anmelden,,verb,登録する,登録する,anmelden,machine_candidate,Review before applying to seed
Anmeldung,die,noun,登録,登録,Anmeldung,machine_candidate,Review before applying to seed
Anruf,der,noun,電話,電話,Anruf,machine_candidate,Review before applying to seed
anrufen,,verb,電話,電話,anrufen,machine_candidate,Review before applying to seed
ansehen,,verb,ビュー,ビュー,ansehen,machine_candidate,Review before applying to seed
Antwort,die,noun,答え,答え,Antwort,machine_candidate,Review before applying to seed
antworten,,verb,答え,答え,antworten,machine_candidate,Review before applying to seed
Anwalt,der,noun,弁護士,弁護士,Anwalt,machine_candidate,Review before applying to seed
Anzeige,die,noun,広告,広告,Anzeige,machine_candidate,Review before applying to seed
anziehen,,verb,つける,つける,anziehen,machine_candidate,Review before applying to seed
Anzug,der,noun,メンズスーツ,メンズスーツ,Anzug,machine_candidate,Review before applying to seed
Apfel,der,noun,りんご,りんご,Apfel,machine_candidate,Review before applying to seed
Apotheke,die,noun,薬局,薬局,Apotheke,machine_candidate,Review before applying to seed
Apparat,der,noun,装置,装置,Apparat,machine_candidate,Review before applying to seed
Appetit,der,noun,食欲,食欲,Appetit,machine_candidate,Review before applying to seed
Arbeit,die,noun,仕事,仕事,Arbeit,machine_candidate,Review before applying to seed
arbeiten,,verb,仕事,仕事,arbeiten,machine_candidate,Review before applying to seed
Arbeiter,der,noun,労働者,労働者,Arbeiter,machine_candidate,Review before applying to seed
arbeitslos,,unknown,失業者,失業者,arbeitslos,machine_candidate,Review before applying to seed
Arbeitsplatz,der,noun,職場,職場,Arbeitsplatz,machine_candidate,Review before applying to seed
arm,,unknown,アーム,アーム,arm,machine_candidate,Review before applying to seed
Arzt,der,noun,医師,医師,Arzt,machine_candidate,Review before applying to seed
Astronaut,der,noun,宇宙飛行士,宇宙飛行士,Astronaut,machine_candidate,Review before applying to seed
Atem,der,noun,呼吸,呼吸,Atem,machine_candidate,Review before applying to seed
atmen,,verb,息をする,息をする,atmen,machine_candidate,Review before applying to seed
Atmosphäre,die,noun,雰囲気,雰囲気,Atmosphäre,machine_candidate,Review before applying to seed
Atom,das,noun,原子,原子,Atom,machine_candidate,Review before applying to seed
auch,,unknown,また,また,auch,machine_candidate,Review before applying to seed
auf,,unknown,の上,の上,auf,machine_candidate,Review before applying to seed
Aufenthalt,der,noun,滞在する,滞在する,Aufenthalt,machine_candidate,Review before applying to seed
Aufgabe,die,noun,タスク,タスク,Aufgabe,machine_candidate,Review before applying to seed
aufgehen,,verb,上昇,上昇,aufgehen,machine_candidate,Review before applying to seed
aufhören,,verb,停止,停止,aufhören,machine_candidate,Review before applying to seed
aufmachen,,verb,開ける,開ける,aufmachen,machine_candidate,Review before applying to seed
aufmerksam,,adjective,気配りのある,気配りのある,aufmerksam,machine_candidate,Review before applying to seed
Aufsatz,der,noun,エッセイ,エッセイ,Aufsatz,machine_candidate,Review before applying to seed
aufstehen,,verb,立ち上がる,立ち上がる,aufstehen,machine_candidate,Review before applying to seed
Auge,das,noun,目,目,Auge,machine_candidate,Review before applying to seed
Augenblick,der,noun,一瞬,一瞬,Augenblick,machine_candidate,Review before applying to seed
aus,,unknown,から,から,aus,machine_candidate,Review before applying to seed
Ausdruck,der,noun,表現,表現,Ausdruck,machine_candidate,Review before applying to seed
Ausflug,der,noun,寄り道,寄り道,Ausflug,machine_candidate,Review before applying to seed
Ausgang,der,noun,出口,出口,Ausgang,machine_candidate,Review before applying to seed
ausgehen,,verb,外出,外出,ausgehen,machine_candidate,Review before applying to seed
ausgezeichnet,,unknown,素晴らしい,素晴らしい,ausgezeichnet,machine_candidate,Review before applying to seed
Auskunft,die,noun,情報,情報,Auskunft,machine_candidate,Review before applying to seed
Ausland,das,noun,海外,海外,Ausland,machine_candidate,Review before applying to seed
Ausländer,der,noun,外国人,外国人,Ausländer,machine_candidate,Review before applying to seed
ausländisch,,adjective,外国,外国,ausländisch,machine_candidate,Review before applying to seed
ausmachen,,verb,消す,消す,ausmachen,machine_candidate,Review before applying to seed
Aussage,die,noun,声明,声明,Aussage,machine_candidate,Review before applying to seed
aussehen,,verb,見て,見て,aussehen,machine_candidate,Review before applying to seed
außer,,unknown,を除外する,を除外する,außer,machine_candidate,Review before applying to seed
außerdem,,unknown,それとは別に,それとは別に,außerdem,machine_candidate,Review before applying to seed
außerhalb,,unknown,外,外,außerhalb,machine_candidate,Review before applying to seed
Aussprache,die,noun,発音,発音,Aussprache,machine_candidate,Review before applying to seed
aussprechen,,verb,急行,急行,aussprechen,machine_candidate,Review before applying to seed
aussteigen,,verb,出口,出口,aussteigen,machine_candidate,Review before applying to seed
Ausweis,der,noun,ID,ID,Ausweis,machine_candidate,Review before applying to seed
Auto,das,noun,車,車,Auto,machine_candidate,Review before applying to seed
Autobahn,die,noun,高速道路,高速道路,Autobahn,machine_candidate,Review before applying to seed
Automat,der,noun,オートマチック,オートマチック,Automat,machine_candidate,Review before applying to seed
Autor,der,noun,著者,著者,Autor,machine_candidate,Review before applying to seed
Baby,das,noun,赤ちゃん,赤ちゃん,Baby,machine_candidate,Review before applying to seed
Bach,der,noun,バッハ,バッハ,Bach,machine_candidate,Review before applying to seed
backen,,verb,焼く,焼く,backen,machine_candidate,Review before applying to seed
Bäcker,der,noun,ベイカー,ベイカー,Bäcker,machine_candidate,Review before applying to seed
Bäckerei,die,noun,ベーカリー,ベーカリー,Bäckerei,machine_candidate,Review before applying to seed
Bad,das,noun,バスルーム,バスルーム,Bad,machine_candidate,Review before applying to seed
baden,,verb,入浴,入浴,baden,machine_candidate,Review before applying to seed
Bahn,die,noun,電車,電車,Bahn,machine_candidate,Review before applying to seed
Bahnhof,der,noun,鉄道駅,鉄道駅,Bahnhof,machine_candidate,Review before applying to seed
Bahnsteig,der,noun,プラットフォーム,プラットフォーム,Bahnsteig,machine_candidate,Review before applying to seed
bald,,unknown,すぐ,すぐ,bald,machine_candidate,Review before applying to seed
Balkon,der,noun,バルコニー,バルコニー,Balkon,machine_candidate,Review before applying to seed
Band,das,noun,バンド,バンド,Band,machine_candidate,Review before applying to seed
Bank,die,noun,銀行,銀行,Bank,machine_candidate,Review before applying to seed
bar,,adjective,クマ,クマ,bar,machine_candidate,Review before applying to seed
Bauch,der,noun,腹,腹,Bauch,machine_candidate,Review before applying to seed
bauen,,verb,建てる,建てる,bauen,machine_candidate,Review before applying to seed
Bauer,der,noun,農家,農家,Bauer,machine_candidate,Review before applying to seed
Baum,der,noun,木,木,Baum,machine_candidate,Review before applying to seed
Beamte,,noun,役員,役員,Beamte,machine_candidate,Review before applying to seed
bedeuten,,verb,平均,平均,bedeuten,machine_candidate,Review before applying to seed
Bedeutung,die,noun,意味,意味,Bedeutung,machine_candidate,Review before applying to seed
Bedienung,die,noun,サービス,サービス,Bedienung,machine_candidate,Review before applying to seed
Bedingung,die,noun,状態,状態,Bedingung,machine_candidate,Review before applying to seed
befehlen,,verb,指示,指示,befehlen,machine_candidate,Review before applying to seed
begegnen,,verb,出会い,出会い,begegnen,machine_candidate,Review before applying to seed
beginnen,,verb,始める,始める,beginnen,machine_candidate,Review before applying to seed
begleiten,,verb,同行する,同行する,begleiten,machine_candidate,Review before applying to seed
Begriff,der,noun,表現,表現,Begriff,machine_candidate,Review before applying to seed
begrüßen,,verb,挨拶する,挨拶する,begrüßen,machine_candidate,Review before applying to seed
behalten,,verb,保つ,保つ,behalten,machine_candidate,Review before applying to seed
behandeln,,verb,扱う,扱う,behandeln,machine_candidate,Review before applying to seed
bei,,unknown,で,で,bei,machine_candidate,Review before applying to seed
beide,,unknown,両方,両方,beide,machine_candidate,Review before applying to seed
Bein,das,noun,脚,脚,Bein,machine_candidate,Review before applying to seed
beinahe,,unknown,ほとんど,ほとんど,beinahe,machine_candidate,Review before applying to seed
Beispiel,das,noun,例,例,Beispiel,machine_candidate,Review before applying to seed
bekannt,,unknown,知られている,知られている,bekannt,machine_candidate,Review before applying to seed
Bekannte,die,noun,知り合い,知り合い,Bekannte,machine_candidate,Review before applying to seed
bekommen,,verb,受け取る、得る,受け取る、得る,bekommen,machine_candidate,Review before applying to seed
beliebt,,unknown,人気のある,人気のある,beliebt,machine_candidate,Review before applying to seed
benutzen,,verb,使用,使用,benutzen,machine_candidate,Review before applying to seed
Benzin,das,noun,ガソリン,ガソリン,Benzin,machine_candidate,Review before applying to seed
beobachten,,verb,観察する,観察する,beobachten,machine_candidate,Review before applying to seed
bequem,,unknown,快適,快適,bequem,machine_candidate,Review before applying to seed
bereit,,unknown,準備ができて,準備ができて,bereit,machine_candidate,Review before applying to seed
Berg,der,noun,山,山,Berg,machine_candidate,Review before applying to seed
Beruf,der,noun,職業,職業,Beruf,machine_candidate,Review before applying to seed
berühmt,,unknown,有名な,有名な,berühmt,machine_candidate,Review before applying to seed
beschäftigen,,verb,占める,占める,beschäftigen,machine_candidate,Review before applying to seed
beschäftigt,,unknown,忙しい,忙しい,beschäftigt,machine_candidate,Review before applying to seed
besichtigen,,verb,ビュー,ビュー,besichtigen,machine_candidate,Review before applying to seed
besitzen,,verb,自分の,自分の,besitzen,machine_candidate,Review before applying to seed
besonder,,unknown,特別,特別,besonder,machine_candidate,Review before applying to seed
besonders,,unknown,特に,特に,besonders,machine_candidate,Review before applying to seed
besser,,unknown,より良い,より良い,besser,machine_candidate,Review before applying to seed
best,,unknown,最高,最高,best,machine_candidate,Review before applying to seed
bestehen,,verb,構成,構成,bestehen,machine_candidate,Review before applying to seed
bestellen,,verb,注文,注文,bestellen,machine_candidate,Review before applying to seed
Besuch,der,noun,訪問,訪問,Besuch,machine_candidate,Review before applying to seed
besuchen,,verb,訪問,訪問,besuchen,machine_candidate,Review before applying to seed
betrachten,,verb,尊重する,尊重する,betrachten,machine_candidate,Review before applying to seed
Bett,das,noun,ベッド,ベッド,Bett,machine_candidate,Review before applying to seed
bevor,,unknown,前に,前に,bevor,machine_candidate,Review before applying to seed
Bewegung,die,noun,動き,動き,Bewegung,machine_candidate,Review before applying to seed
bezahlen,,verb,支払う,支払う,bezahlen,machine_candidate,Review before applying to seed
Beziehung,die,noun,関係,関係,Beziehung,machine_candidate,Review before applying to seed
Bibel,die,noun,聖書,聖書,Bibel,machine_candidate,Review before applying to seed
Bibliothek,die,noun,図書館,図書館,Bibliothek,machine_candidate,Review before applying to seed
Bier,das,noun,ビール,ビール,Bier,machine_candidate,Review before applying to seed
Bild,das,noun,写真,写真,Bild,machine_candidate,Review before applying to seed
bilden,,verb,形状,形状,bilden,machine_candidate,Review before applying to seed
billig,,adjective,安い,安い,billig,machine_candidate,Review before applying to seed
Biologie,die,noun,生物学,生物学,Biologie,machine_candidate,Review before applying to seed
Birne,die,noun,梨,梨,Birne,machine_candidate,Review before applying to seed
bis,,unknown,それまで,それまで,bis,machine_candidate,Review before applying to seed
bisschen,,verb,少し,少し,bisschen,machine_candidate,Review before applying to seed
Bitte,die,noun,お願いします,お願いします,Bitte,machine_candidate,Review before applying to seed
bitten,,verb,聞く,聞く,bitten,machine_candidate,Review before applying to seed
bitter,,unknown,苦い,苦い,bitter,machine_candidate,Review before applying to seed
Blatt,das,noun,シート,シート,Blatt,machine_candidate,Review before applying to seed
blau,,unknown,青,青,blau,machine_candidate,Review before applying to seed
bleiben,,verb,とどまる,とどまる,bleiben,machine_candidate,Review before applying to seed
Bleistift,der,noun,鉛筆,鉛筆,Bleistift,machine_candidate,Review before applying to seed
Blick,der,noun,ビュー,ビュー,Blick,machine_candidate,Review before applying to seed
blicken,,verb,見て,見て,blicken,machine_candidate,Review before applying to seed
blind,,unknown,盲目,盲目,blind,machine_candidate,Review before applying to seed
Blitz,der,noun,フラッシュ,フラッシュ,Blitz,machine_candidate,Review before applying to seed
blond,,unknown,ブロンド,ブロンド,blond,machine_candidate,Review before applying to seed
Blume,die,noun,花,花,Blume,machine_candidate,Review before applying to seed
Bluse,die,noun,ブラウス,ブラウス,Bluse,machine_candidate,Review before applying to seed
Blut,das,noun,血,血,Blut,machine_candidate,Review before applying to seed
Boden,der,noun,床,床,Boden,machine_candidate,Review before applying to seed
Bonbon,der,noun,甘い,甘い,Bonbon,machine_candidate,Review before applying to seed
Boot,das,noun,ボート,ボート,Boot,machine_candidate,Review before applying to seed
böse,,unknown,悪,悪,böse,machine_candidate,Review before applying to seed
braten,,verb,稚魚,稚魚,braten,machine_candidate,Review before applying to seed
brauchen,,verb,必要,必要,brauchen,machine_candidate,Review before applying to seed
braun,,unknown,茶色,茶色,braun,machine_candidate,Review before applying to seed
Braut,die,noun,花嫁,花嫁,Braut,machine_candidate,Review before applying to seed
brechen,,verb,壊す、折る,壊す、折る,brechen,machine_candidate,Review before applying to seed
breit,,unknown,広い,広い,breit,machine_candidate,Review before applying to seed
Breite,die,noun,幅,幅,Breite,machine_candidate,Review before applying to seed
brennen,,verb,やけど,やけど,brennen,machine_candidate,Review before applying to seed
Brief,der,noun,手紙,手紙,Brief,machine_candidate,Review before applying to seed
Briefmarke,die,noun,切手,切手,Briefmarke,machine_candidate,Review before applying to seed
Brille,die,noun,眼鏡,眼鏡,Brille,machine_candidate,Review before applying to seed
bringen,,verb,持ってくる,持ってくる,bringen,machine_candidate,Review before applying to seed
Brot,das,noun,パン,パン,Brot,machine_candidate,Review before applying to seed
Brötchen,das,noun,ロールパン,ロールパン,Brötchen,machine_candidate,Review before applying to seed
Brücke,die,noun,橋,橋,Brücke,machine_candidate,Review before applying to seed
Bruder,der,noun,兄弟,兄弟,Bruder,machine_candidate,Review before applying to seed
Brunnen,der,noun,春,春,Brunnen,machine_candidate,Review before applying to seed
Brust,die,noun,胸,胸,Brust,machine_candidate,Review before applying to seed
Buch,das,noun,本,本,Buch,machine_candidate,Review before applying to seed
Buchhandlung,die,noun,本屋,本屋,Buchhandlung,machine_candidate,Review before applying to seed
Buchstabe,der,noun,手紙,手紙,Buchstabe,machine_candidate,Review before applying to seed
bunt,,unknown,カラフル,カラフル,bunt,machine_candidate,Review before applying to seed
Burg,die,noun,城,城,Burg,machine_candidate,Review before applying to seed
Bürger,der,noun,国民,国民,Bürger,machine_candidate,Review before applying to seed
Büro,das,noun,オフィス,オフィス,Büro,machine_candidate,Review before applying to seed
Bus,der,noun,バス,バス,Bus,machine_candidate,Review before applying to seed
Butter,die,noun,バター,バター,Butter,machine_candidate,Review before applying to seed
Café,die,noun,カフェ,カフェ,Café,machine_candidate,Review before applying to seed
Cent,der,noun,セント,セント,Cent,machine_candidate,Review before applying to seed
Chance,die,noun,チャンス,チャンス,Chance,machine_candidate,Review before applying to seed
Charakter,der,noun,キャラクター,キャラクター,Charakter,machine_candidate,Review before applying to seed
Chef,der,noun,ボス,ボス,Chef,machine_candidate,Review before applying to seed
Chemie,die,noun,化学,化学,Chemie,machine_candidate,Review before applying to seed
Christ,der,noun,キリスト教徒,キリスト教徒,Christ,machine_candidate,Review before applying to seed
Christentum,das,noun,キリスト教,キリスト教,Christentum,machine_candidate,Review before applying to seed
Computer,der,noun,コンピューター,コンピューター,Computer,machine_candidate,Review before applying to seed
da,,unknown,そこには,そこには,da,machine_candidate,Review before applying to seed
dabei,,unknown,含まれています,含まれています,dabei,machine_candidate,Review before applying to seed
Dach,das,noun,屋根,屋根,Dach,machine_candidate,Review before applying to seed
damals,,unknown,時,時,damals,machine_candidate,Review before applying to seed
Dame,die,noun,レディ,レディ,Dame,machine_candidate,Review before applying to seed
damit,,unknown,それと一緒に,それと一緒に,damit,machine_candidate,Review before applying to seed
Dank,der,noun,おかげで,おかげで,Dank,machine_candidate,Review before applying to seed
danke,,unknown,ありがとう,ありがとう,danke,machine_candidate,Review before applying to seed
danken,,verb,感謝,感謝,danken,machine_candidate,Review before applying to seed
dann,,unknown,それから,それから,dann,machine_candidate,Review before applying to seed
darauf,,unknown,上で,上で,darauf,machine_candidate,Review before applying to seed
darstellen,,verb,代表する,代表する,darstellen,machine_candidate,Review before applying to seed
darüber,,unknown,それについて,それについて,darüber,machine_candidate,Review before applying to seed
darum,,unknown,したがって,したがって,darum,machine_candidate,Review before applying to seed
dass,,unknown,それ,それ,dass,machine_candidate,Review before applying to seed
Datum,das,noun,日付,日付,Datum,machine_candidate,Review before applying to seed
dauern,,verb,最後,最後,dauern,machine_candidate,Review before applying to seed
dazu,,unknown,加えて,加えて,dazu,machine_candidate,Review before applying to seed
Decke,die,noun,シーリング,シーリング,Decke,machine_candidate,Review before applying to seed
decken,,verb,カバー,カバー,decken,machine_candidate,Review before applying to seed
Demokratie,die,noun,民主主義,民主主義,Demokratie,machine_candidate,Review before applying to seed
demokratisch,,adjective,民主的に,民主的に,demokratisch,machine_candidate,Review before applying to seed
denken,,verb,考える,考える,denken,machine_candidate,Review before applying to seed
denn,,unknown,なぜなら,なぜなら,denn,machine_candidate,Review before applying to seed
deshalb,,unknown,このため,このため,deshalb,machine_candidate,Review before applying to seed
Dichter,der,noun,詩人,詩人,Dichter,machine_candidate,Review before applying to seed
dick,,unknown,厚い,厚い,dick,machine_candidate,Review before applying to seed
Dieb,der,noun,泥棒,泥棒,Dieb,machine_candidate,Review before applying to seed
dienen,,verb,仕える,仕える,dienen,machine_candidate,Review before applying to seed
diesmal,,unknown,この時,この時,diesmal,machine_candidate,Review before applying to seed
Ding,das,noun,もの,もの,Ding,machine_candidate,Review before applying to seed
direkt,,unknown,直接,直接,direkt,machine_candidate,Review before applying to seed
diskutieren,,verb,話し合う,話し合う,diskutieren,machine_candidate,Review before applying to seed
doch,,unknown,しかし,しかし,doch,machine_candidate,Review before applying to seed
Doktor,der,noun,医者,医者,Doktor,machine_candidate,Review before applying to seed
Donner,der,noun,雷,雷,Donner,machine_candidate,Review before applying to seed
doppelt,,unknown,ダブル,ダブル,doppelt,machine_candidate,Review before applying to seed
Doppelzimmer,das,noun,ダブルルーム,ダブルルーム,Doppelzimmer,machine_candidate,Review before applying to seed
Dorf,das,noun,村,村,Dorf,machine_candidate,Review before applying to seed
dort,,unknown,そこには,そこには,dort,machine_candidate,Review before applying to seed
draußen,,verb,外,外,draußen,machine_candidate,Review before applying to seed
drinnen,,verb,内部,内部,drinnen,machine_candidate,Review before applying to seed
drücken,,verb,プレス,プレス,drücken,machine_candidate,Review before applying to seed
dumm,,unknown,バカ,バカ,dumm,machine_candidate,Review before applying to seed
dunkel,,unknown,暗い,暗い,dunkel,machine_candidate,Review before applying to seed
dünn,,unknown,薄い,薄い,dünn,machine_candidate,Review before applying to seed
durch,,unknown,を通して,を通して,durch,machine_candidate,Review before applying to seed
durchaus,,unknown,絶対に,絶対に,durchaus,machine_candidate,Review before applying to seed
dürfen,,verb,してもよい,してもよい,dürfen,machine_candidate,Review before applying to seed
Durst,der,noun,渇き,渇き,Durst,machine_candidate,Review before applying to seed
durstig,,adjective,喉が渇いた,喉が渇いた,durstig,machine_candidate,Review before applying to seed
Dusche,die,noun,シャワー,シャワー,Dusche,machine_candidate,Review before applying to seed
duschen,,verb,シャワー,シャワー,duschen,machine_candidate,Review before applying to seed
Dutzend,das,noun,ダース,ダース,Dutzend,machine_candidate,Review before applying to seed
E-Mail,das,noun,電子メール,電子メール,E-Mail,machine_candidate,Review before applying to seed
echt,,unknown,本物,本物,echt,machine_candidate,Review before applying to seed
Ecke,die,noun,コーナー,コーナー,Ecke,machine_candidate,Review before applying to seed
egal,,unknown,関係ない,関係ない,egal,machine_candidate,Review before applying to seed
Ehe,die,noun,前に,前に,Ehe,machine_candidate,Review before applying to seed
eher,,unknown,それよりも,それよりも,eher,machine_candidate,Review before applying to seed
Ehre,die,noun,名誉,名誉,Ehre,machine_candidate,Review before applying to seed
eigentlich,,adjective,実は,実は,eigentlich,machine_candidate,Review before applying to seed
eilen,,verb,急ぐ,急ぐ,eilen,machine_candidate,Review before applying to seed
eilig,,adjective,急いで,急いで,eilig,machine_candidate,Review before applying to seed
einander,,unknown,お互い,お互い,einander,machine_candidate,Review before applying to seed
einbilden,,verb,想像する,想像する,einbilden,machine_candidate,Review before applying to seed
einfach,,unknown,単に,単に,einfach,machine_candidate,Review before applying to seed
Eingang,der,noun,入り口,入り口,Eingang,machine_candidate,Review before applying to seed
einige,,unknown,いくつかの,いくつかの,einige,machine_candidate,Review before applying to seed
einkaufen,,verb,買い物,買い物,einkaufen,machine_candidate,Review before applying to seed
einladen,,verb,招待する,招待する,einladen,machine_candidate,Review before applying to seed
Einladung,die,noun,招待,招待,Einladung,machine_candidate,Review before applying to seed
einmal,,unknown,一度,一度,einmal,machine_candidate,Review before applying to seed
einsam,,adjective,さみしい,さみしい,einsam,machine_candidate,Review before applying to seed
einschlaten,,verb,眠りにつく,眠りにつく,einschlaten,machine_candidate,Review before applying to seed
einsteigen,,verb,入れ,入れ,einsteigen,machine_candidate,Review before applying to seed
Einzelzimmer,das,noun,シングルルーム,シングルルーム,Einzelzimmer,machine_candidate,Review before applying to seed
einzig,,adjective,のみ,のみ,einzig,machine_candidate,Review before applying to seed
Eis,das,noun,氷,氷,Eis,machine_candidate,Review before applying to seed
Eisen,das,noun,鉄,鉄,Eisen,machine_candidate,Review before applying to seed
Eisenbahn,die,noun,鉄道,鉄道,Eisenbahn,machine_candidate,Review before applying to seed
Element,das,noun,要素,要素,Element,machine_candidate,Review before applying to seed
Eltern,die,noun,両親,両親,Eltern,machine_candidate,Review before applying to seed
empfangen,,verb,受け取った,受け取った,empfangen,machine_candidate,Review before applying to seed
Empfänger,der,noun,受信者,受信者,Empfänger,machine_candidate,Review before applying to seed
empfehlen,,verb,推薦する,推薦する,empfehlen,machine_candidate,Review before applying to seed
Ende,das,noun,終わり,終わり,Ende,machine_candidate,Review before applying to seed
enden,,verb,終わり,終わり,enden,machine_candidate,Review before applying to seed
endlich,,adjective,ついに,ついに,endlich,machine_candidate,Review before applying to seed
eng,,unknown,密接に,密接に,eng,machine_candidate,Review before applying to seed
Enkel,der,noun,孫,孫,Enkel,machine_candidate,Review before applying to seed
entdecken,,verb,発見する,発見する,entdecken,machine_candidate,Review before applying to seed
entfernt,,unknown,削除されました,削除されました,entfernt,machine_candidate,Review before applying to seed
enthalten,,verb,含む,含む,enthalten,machine_candidate,Review before applying to seed
entlang,,unknown,平行,平行,entlang,machine_candidate,Review before applying to seed
entscheiden,,verb,決める,決める,entscheiden,machine_candidate,Review before applying to seed
entschlossen,,verb,決定した,決定した,entschlossen,machine_candidate,Review before applying to seed
entschuldigen,,verb,言い訳,言い訳,entschuldigen,machine_candidate,Review before applying to seed
Entschuldigung,die,noun,すみません,すみません,Entschuldigung,machine_candidate,Review before applying to seed
entweder,,unknown,どちらか,どちらか,entweder,machine_candidate,Review before applying to seed
entwickeln,,verb,開発する,開発する,entwickeln,machine_candidate,Review before applying to seed
Erdbeben,das,noun,地震,地震,Erdbeben,machine_candidate,Review before applying to seed
Erde,die,noun,地球,地球,Erde,machine_candidate,Review before applying to seed
Erdgeschoss,das,noun,1階,1階,Erdgeschoss,machine_candidate,Review before applying to seed
erfahren,,verb,経験,経験,erfahren,machine_candidate,Review before applying to seed
Erfahrung,die,noun,経験,経験,Erfahrung,machine_candidate,Review before applying to seed
erfinden,,verb,発明する,発明する,erfinden,machine_candidate,Review before applying to seed
Erfolg,der,noun,成功,成功,Erfolg,machine_candidate,Review before applying to seed
erhalten,,verb,受け取る,受け取る,erhalten,machine_candidate,Review before applying to seed
erinnern,,verb,覚えて,覚えて,erinnern,machine_candidate,Review before applying to seed
Erinnerung,die,noun,メモリ,メモリ,Erinnerung,machine_candidate,Review before applying to seed
Erkältung,die,noun,風邪,風邪,Erkältung,machine_candidate,Review before applying to seed
erkennen,,verb,認識する,認識する,erkennen,machine_candidate,Review before applying to seed
erklären,,verb,説明する,説明する,erklären,machine_candidate,Review before applying to seed
erlauben,,verb,許可する,許可する,erlauben,machine_candidate,Review before applying to seed
Erlaubnis,die,noun,許可,許可,Erlaubnis,machine_candidate,Review before applying to seed
erledigen,,verb,完了,完了,erledigen,machine_candidate,Review before applying to seed
ernst,,unknown,深刻な,深刻な,ernst,machine_candidate,Review before applying to seed
Ernte,die,noun,収穫,収穫,Ernte,machine_candidate,Review before applying to seed
erreichen,,verb,到達する,到達する,erreichen,machine_candidate,Review before applying to seed
erscheinen,,verb,現れる,現れる,erscheinen,machine_candidate,Review before applying to seed
erst,,unknown,初め,初め,erst,machine_candidate,Review before applying to seed
Erwachsene,die,noun,アダルト,アダルト,Erwachsene,machine_candidate,Review before applying to seed
